Quotazioni Immobiliari : Valori di Mercato - Semestre 2014/1 - elaborazione del 07-APR-23
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C08;MI00000303;9;Magazzini;NORMALE;P;500;750;L;3,5;5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C08;MI00000303;5;Negozi;NORMALE;P;2000;3000;L;10;14,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C08;MI00000303;6;Uffici;OTTIMO;P;2300;2600;L;9;11;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C08;MI00000303;18;Uffici strutturati;OTTIMO;P;2400;3200;L;13;17;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C08;MI00000303;8;Capannoni industriali;NORMALE;P;900;1100;L;5;6;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C08;MI00000303;7;Capannoni tipici;NORMALE;P;900;1150;L;5;6;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C08;MI00000303;10;Laboratori;NORMALE;P;1100;1400;L;6;8;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C09;MI00000304;20;Abitazioni civili;OTTIMO; ;4500;6300;L;12,8;18,8;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C09;MI00000304;20;Abitazioni civili;NORMALE;P;3500;4500;L;10,5;12;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C09;MI00000304;21;Abitazioni di tipo economico;OTTIMO; ;3500;4500;L;10;12,8;L;
