id,name,neighborhood_cleansed,latitude,longitude,host_listings_count,property_type,room_type,accommodates,bedrooms,price,availability_365,review_scores_rating
32179530,Viale Monte Nero - Nel cuore di Porta Romana,CASTELLO,45.45375,9.20266,35,Entire rental unit,Entire home/apt,4,1.0,$110.00,238,4.57
31948529,Ex ASILO NIDO - Ex NURSERY SCHOOL,VIA SAN VITTORE,45.46127,9.17094,1,Entire loft,Entire home/apt,2,1.0,$120.00,90,4.67
32185211,appartamento stazione di lambrate,LAMBRATE,45.4845,9.24189,1,Entire rental unit,Entire home/apt,2,1.0,$70.00,0,5.0
32186603,Studio Naviglio Grande (Darsena). 015146-CNI-01834,NAVIGLIO GRANDE,45.4516,9.17471,1,Entire rental unit,Entire home/apt,1,1.0,$64.00,47,5.0
32349298,House Marcello,WAGNER,45.46243,9.13356,1,Entire rental unit,Entire home/apt,3,1.0,$240.00,0,5.0
32352584,Double bedroom close to Lambrate Design District,PADOVA,45.50388,9.23726,3,Private room in rental unit,Private room,2,1.0,$20.00,0,4.67
31956027,FABULOUS FLAT IN NoLo DISTRICT,PADOVA,45.50033,9.22155,1,Entire rental unit,Entire home/apt,4,2.0,$109.00,21,5.0
32352725,Accogliente monolocale in centro a milano,XXII MARZO,45.46623,9.20806,1,Entire rental unit,Entire home/apt,2,,$28.00,0,4.93
32352852,Delizioso Bilocale appena ristrutturato,GIAMBELLINO,45.45237,9.15105,1,Entire rental unit,Entire home/apt,4,1.0,$150.00,0,
32187663,LUNIGIANA 15 MILANO (Staz Centrale - MM Sondrio),CERMENTATE,45.49237,9.20506,1,Entire rental unit,Entire home/apt,2,1.0,$108.00,245,4.43
31956295,Luminosa stanza privata nel cuore di Città Studi,CITY LIFE,45.4804,9.2352,2,Private room in rental unit,Private room,2,1.0,$55.00,0,4.78
31970781,Apartment,WAGNER,45.45821,9.15036,1,Entire rental unit,Entire home/apt,2,2.0,$80.00,49,4.96
32188914,THAON: trendy and quiet in the heart of ISOLA,PIOLA,45.49086,9.18891,1,Entire rental unit,Entire home/apt,4,2.0,$167.00,156,4.84
32353713,Casa con Giardino in centro a Milano,RIPAMONTI,45.43639,9.20543,9,Entire rental unit,Entire home/apt,2,1.0,$80.00,0,5.0
31970892,Stunning View Apartment,VIA SAN VITTORE,45.45722,9.1715,65,Entire rental unit,Entire home/apt,4,2.0,$63.00,242,4.67
32358940,"Nel centro di Milano, ideale per FashionWeek",VIA SAN VITTORE,45.45947,9.1737,1,Entire rental unit,Entire home/apt,4,1.0,$220.00,161,4.79
32201467,Porta Romana Renovated Flat - 3 stops from Duomo,PORTA ROMANA,45.4496,9.2007,147,Entire rental unit,Entire home/apt,3,1.0,$88.00,25,4.53
31974416,Accogliente e luminoso appartamento in Via Sarpi,SARPI,45.48032,9.17777,1,Entire rental unit,Entire home/apt,2,1.0,$350.00,180,
32202199,Renting cute loft in Milan,MOLISE,45.45363,9.22101,1,Entire loft,Entire home/apt,2,1.0,$60.00,87,5.0
32202279,"Good Price, Good Place, Best Access to The City",NAVIGLIO GRANDE,45.49687,9.15129,1,Shared room in rental unit,Shared room,1,1.0,$9.00,0,
32360169,Restful room in the heart of Isola district.,PIOLA,45.48998,9.18756,1,Private room in condo,Private room,1,1.0,$75.00,179,4.97
31976833,PORTA VENEZIA BEST AREA,BUENOS AIRES,45.47643,9.20522,1,Entire rental unit,Entire home/apt,4,1.0,$62.00,51,4.88
32360431,A due passi dal Duomo,DUOMO,45.46552,9.18866,1,Entire rental unit,Entire home/apt,2,1.0,$207.00,46,4.82
32371293,Italianway - Corso Lodi 121,LORETO,45.44206,9.22308,488,Entire rental unit,Entire home/apt,4,2.0,$127.00,216,3.0
32202416,Green apartment,PIOLA,45.49638,9.1848,1,Entire rental unit,Entire home/apt,2,1.0,$150.00,47,5.0
31984841,Loft Passion 14 - 6 pax,LAMBRATE,45.47483,9.24385,6,Entire loft,Entire home/apt,6,3.0,$600.00,89,5.0
31998750,River Home Navigli 129,NAVIGLIO GRANDE,45.44935,9.16086,3,Entire rental unit,Entire home/apt,4,1.0,$82.00,50,4.82
32205763,YouHosty - Mercato Dx 16,BRERA,45.47101,9.18442,99,Entire rental unit,Entire home/apt,3,1.0,$106.00,339,4.19
32206583,DeLoft_loft di design a Milano,PAGANO,45.5014,9.17984,1,Entire loft,Entire home/apt,2,1.0,$119.00,90,4.82
32207312,"Near Bocconi, Naba and Iulm Universities",ITALIA,45.43748,9.18007,20,Entire rental unit,Entire home/apt,2,1.0,$43.00,81,4.79
32207480,YouHosty - Pisani Small 13,CERMENTATE,45.48224,9.20045,99,Entire rental unit,Entire home/apt,4,2.0,$155.00,346,4.63
32373353,Liberty Apartment Near Bar Basso,BUENOS AIRES,45.47733,9.21602,1,Entire rental unit,Entire home/apt,4,1.0,$310.00,218,
32375052,Panoramic top floor apartment,XXII MARZO,45.46675,9.21078,1,Entire rental unit,Entire home/apt,2,,$200.00,88,
32377395,Gioia's House,ROGOREDO,45.49675,9.20855,1,Entire rental unit,Entire home/apt,4,1.0,$729.00,0,
32377499,Bilocale di charme Porta Venezia,BUENOS AIRES,45.46951,9.20798,1,Entire rental unit,Entire home/apt,2,1.0,$100.00,24,4.97
32001516,SanSiro stylish appartment 15 minuti da Rho fiera,P. ROSSI,45.47105,9.12227,4,Entire condo,Entire home/apt,5,2.0,$800.00,9,5.0
32377504,a room vith a view,VIA SAN VITTORE,45.45891,9.17655,1,Private room in rental unit,Private room,2,1.0,$200.00,0,5.0
32381527,Spacious Room in the middle of Navigli,NAVIGLIO GRANDE,45.452,9.17381,2,Private room in rental unit,Private room,2,,$65.00,20,5.0
32391451,my house in Milan,BUENOS AIRES,45.47041,9.2127,1,Entire rental unit,Entire home/apt,2,1.0,$70.00,0,5.0
32207670,Casa accogliente a due passi dal centro,BUENOS AIRES,45.48377,9.20831,1,Entire rental unit,Entire home/apt,2,1.0,$52.00,0,5.0
32207739,Wonderful design loft in the design district,NAVIGLIO GRANDE,45.45102,9.17054,1,Entire loft,Entire home/apt,2,1.0,$350.00,173,
32209273,Stanza Bianca indipendente per sole donne,WAGNER,45.46666,9.13552,3,Private room in home,Private room,1,1.0,$35.00,155,5.0
32001564,PicciDaus,PIOLA,45.4941,9.19079,1,Entire rental unit,Entire home/apt,2,1.0,$390.00,362,
32209358,Blue room with attached bathroom,PORTA TICINESE,45.45288,9.17903,3,Private room in rental unit,Private room,2,1.0,$58.00,0,5.0
